Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
Wow Venue,,"Mumbai, Maharashtra, India",Events,Wow Venue is an online platform.,,,"$1,500,000 ",Venture - Series Unknown
Chizel,,"Pune, Maharashtra, India","3D Printing, Manufacturing, Product Design",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,,,—,Seed
OTO Capital,,"Mumbai, Maharashtra, India",Automotive,OTO Capital is a platform that allows you to own a car faster than ever.,,,"?50,000,000",Seed
Boodmo,,"Gurgaon, Haryana, India","Automotive, Retail",boodmo.com - large online marketplace for auto parts in India.,,,"?70,000,000",Seed
Khabri,,"Haryana, Haryana, India","Apps, Audio",Khabri is a digital audio platform for content in vernacular.,,,—,Seed
MyNewCar.in,,"Gurgaon, Haryana, India","Automotive, E-Commerce",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,,,"$1,000,000 ",Venture - Series Unknown
HalaPlay Technologies,,"Bangalore, Karnataka, India","Digital Entertainment, Fantasy Sports, Sports",A daily fantasy sports platform.,,,"$5,000,000 ",Series A
PlanetSpark,,"Gurgaon, Haryana, India","E-Learning, EdTech, Education",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,,"?16,000,000",Seed
WheelsEMI,,"Pune, Maharashtra, India",—,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",,,"$14,000,000 ",Series B
Forum for Innovation Incubation Research and Entrepreneurship,,"Margão, Goa, India","Funding Platform, Incubators, Non Profit","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",,,"?102,500,000",Grant
OYO,,"Gurgaon, Haryana, India","Hospitality, Hotel, Leisure, Travel",OYO is an Indian hospitality startup that operates a network of budget hotels.,,,"$100,000,000 ",Series E
Quikr,,"Bangalore, Karnataka, India","Classifieds, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,,"?550,000,000",Debt Financing
Tabono,,"Gurgaon, Haryana, India",Sports,Tabono is a one stop environment for all your fitness solution.,,,—,Seed
LearnApp,,"Noida, Uttar Pradesh, India","Banking, E-Learning, Trading Platform","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",,,"?20,000,000",Seed
Shopkirana,,"Indore, Madhya Pradesh, India","E-Commerce, Mobile, Retail",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,,"$2,000,000 ",Venture - Series Unknown
Fric Bergen,,"Alwar, Rajasthan, India",—,Fric Bergen is a leader in the specialty food industry.,,,—,Venture - Series Unknown
Articbot,,"Kannur, Kerala, India","Artificial Intelligence, Information Technology",Articbot is a conversational AI platform for automated customer support and lead generation,,,"?1,200,000",Grant
BuildSupply,,"Gurgaon, Haryana, India","Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",India’s most advanced ERP system for the real estate,,,"?250,000,000",Series A
Fusion Microfinance,,"New Delhi, Delhi, India","Banking, Finance, Financial Services",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,,,"?5,200,000,000",Series E
Any time Doctor,,"Chennai, Tamil Nadu, India",Software,Anytime Doctor is a Software company.,,,—,Angel
Go Payments,,"Mumbai, Maharashtra, India","Information Services, Information Technology",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,,,—,Corporate Round
Guiddoo World,,"Mumbai, Maharashtra, India","Audio, Mobile, Tourism, Travel",We build In-Destination Experiences!,,,"$800,000 ",Seed
ION Energy,,"Mumbai, Maharashtra, India","Energy, Energy Storage, Infrastructure",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,,,"$1,041,000 ",Venture - Series Unknown
UnoTag,,"Bangalore, Karnataka, India",Artificial Intelligence,SaaS to verify counterfeit,,,"$100,000 ",Pre-Seed
CivilCops,,"Gurgaon, Haryana, India","Government, Information Technology, Software",Gov-Tech,,,"$100,000 ",Pre-Seed
Rockmetric,,"Mumbai, Maharashtra, India",Information Technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",,,—,Grant
Classworks India,,"Chennai, Tamil Nadu, India","Education, Information Technology, Internet, Mobile, Software","Saas, Web App, Mobile App, School Education",,,"?100,000",Undisclosed
Snapmint,,"Mumbai, Maharashtra, India","Consumer Lending, Financial Services, Lending, Personal Finance","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",,,—,Seed
artbandhu,,"Bangalore, Karnataka, India","Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Ai platform for Art and Creative Community,,,"$15,000 ",Pre-Seed
Survaider,,"Bengaluru, Karnataka, India","Business Intelligence, Customer Service, Market Research, SaaS",Stethoscope for customer feedback !,,,500000,Seed
Credy,,"Bengaluru, Karnataka, India","Credit, Financial Services, FinTech, Lending",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,,,1400000,Seed
